id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
16,dish,botok lamtoro,186.0,11.7,9.7,13.0,tkpi,0.06290322546826223,0.052150537354029365,0.06989247274251359,1.2061854426612946,0.960544044435073
17,dish,brem,249.0,3.4,0.4,58.0,tkpi,0.013654618419057758,0.0016064256963597362,0.23293172597216175,8.499978750053124,0.5716158847243951
18,dish,brongkos,141.0,15.3,3.3,12.6,tkpi,0.10851063752829336,0.02340425515316131,0.08936170149388864,4.636362231405385,0.8352551631295334
19,dish,buncis rebus,30.0,2.2,0.2,6.4,tkpi,0.07333333088888898,0.006666666444444452,0.21333332622222245,10.999945000274998,0.706396630680665
20,komponen,buncis segar,34.0,2.4,0.3,7.2,tkpi,0.07058823321799314,0.008823529152249142,0.21176469965397945,7.999973333422223,0.7082923418546737
21,komponen,bunga pepaya segar,45.0,2.6,0.3,8.1,tkpi,0.0577777764938272,0.006666666518518522,0.17999999600000008,8.666637777874076,0.7025051026357605
22,dish,buntil daun talas,141.0,4.4,10.2,8.0,tkpi,0.03120567353754842,0.07234042501886223,0.056737588250088025,0.4313725067281857,0.8942158048552147
23,komponen,caisin segar,20.0,1.7,0.4,3.4,tkpi,0.08499999575000021,0.01999999900000005,0.16999999150000042,4.249989375026562,0.7766602936643845
24,komponen,daun bangunbangun segar,27.0,1.3,0.6,4.0,tkpi,0.048148146364883466,0.022222221399176983,0.1481481426611799,2.1666630555615742,0.7515408652282936
25,komponen,daun bebuas segar,41.0,2.7,1.0,7.3,tkpi,0.06585365693039862,0.024390243307555043,0.1780487761451518,2.6999973000027,0.7580686829550052
26,komponen,daun belem segar,50.0,4.4,1.4,7.8,tkpi,0.08799999824000004,0.02799999944000001,0.15599999688000007,3.1428548979607878,0.8077581220477689
27,komponen,daun gelang segar,30.0,1.3,0.7,5.8,tkpi,0.04333333188888894,0.02333333255555558,0.1933333268888891,1.8571402040854228,0.7082100852117681
28,komponen,daun gunda bali segar,50.0,4.6,0.9,7.0,tkpi,0.09199999816000004,0.017999999640000007,0.13999999720000006,5.111105432105075,0.7992724344900393
